,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
37,Dwight McNeil,31,Everton,23, M(CLR)  ,28(8),2502,3,1.4,21.0,76.4,1.4,1.0,0.0,6.99,7,5,0,1.3,0.4,4,1.5,0.6,0.0,1.3,1.5,1.8,0.9,0.6,0.0,0.9,1.0,0.2,0
43,James Tarkowski,31,Everton,30, D(C)  ,38,3420,1,0.4,42.6,81.2,0.0,3.2,0.1,6.97,1,6,0,0.8,3.2,2,0.2,0.6,0.1,0.1,0.6,1.3,1.3,1.1,0.3,5.2,0.5,2.1,0
76,Alex Iwobi,31,Everton,27, M(CLR)  ,38,3382,7,1.7,36.6,78.8,0.8,1.9,0.2,6.82,2,2,0,1.1,0.3,0,1.4,0.4,0.1,1.1,1.8,1.8,0.7,0.5,0.0,0.7,0.8,0.1,0
124,Amadou Onana,31,Everton,21, DMC  ,29(4),2496,2,0.7,29.4,84.0,0.0,1.2,0.1,6.71,1,9,0,1.0,1.8,0,0.5,1.5,0.1,0.5,1.5,2.2,1.1,1.3,0.0,1.1,0.4,0.2,0
133,Jordan Pickford,31,Everton,29, GK  ,37,3330,1,0.1,31.2,51.8,0.0,7.9,0.0,6.69,0,6,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0
149,Idrissa Gueye,31,Everton,33, M(C)  ,32(1),2594,1,0.4,36.6,84.5,0.0,1.1,0.0,6.66,0,7,0,0.5,0.8,0,0.6,1.5,0.0,0.5,0.9,2.9,1.7,1.3,0.0,0.9,0.9,0.4,0
166,Demarai Gray,31,Everton,26," AM(CLR),FW  ",27(6),2512,1,1.1,19.9,81.3,1.1,0.8,0.0,6.61,4,3,0,1.8,0.4,1,1.0,1.5,0.4,2.0,2.6,1.0,0.4,0.7,0.0,0.5,0.4,0.1,0
177,Vitalii Mykolenko,31,Everton,24," D(CL),M(L)  ",30(4),2657,0,0.6,29.4,75.6,0.4,1.1,0.0,6.58,0,4,0,0.3,0.8,0,0.3,0.6,0.0,0.2,0.9,1.7,1.4,0.9,0.2,2.6,0.7,0.5,0
189,Séamus Coleman,31,Everton,34," D(CR),M(R)  ",20(3),1667,0,0.2,26.2,75.5,0.4,1.0,0.0,6.56,1,1,0,0.3,0.8,1,0.7,0.9,0.1,0.3,1.3,1.5,1.0,0.4,0.1,2.0,0.4,0.3,0
208,Nathan Patterson,31,Everton,21," D(R),M(R)  ",14(5),1274,0,0.3,24.8,79.9,0.2,0.6,0.0,6.51,0,3,0,0.4,0.5,0,0.6,0.7,0.1,0.5,1.2,2.6,0.8,0.7,0.2,1.9,1.3,0.2,0
225,Abdoulaye Doucouré,31,Everton,30, M(C)  ,17(8),1529,2,0.9,21.5,79.6,0.1,0.1,0.0,6.48,5,6,1,0.8,0.5,0,0.8,0.2,0.3,0.5,1.1,1.2,0.5,0.8,0.0,0.4,1.0,0.1,0
243,Conor Coady,31,Everton,30," D(CR),DMC  ",23(1),2096,1,0.2,50.0,85.1,0.0,4.4,0.0,6.45,1,2,0,0.2,1.0,0,0.0,0.5,0.1,0.1,0.3,0.6,0.6,0.5,0.3,3.5,0.3,0.7,0
302,Neal Maupay,31,Everton,26," AM(C),FW  ",11(16),1115,0,0.3,9.1,76.5,0.0,0.2,0.0,6.2,1,4,0,1.2,0.6,0,0.3,0.8,0.0,0.6,1.4,0.4,0.2,0.5,0.0,0.0,0.1,0.0,0
306,Tom Davies,31,Everton,24, M(C)  ,4(15),530,0,0.1,12.1,74.8,0.0,0.6,0.0,6.12,0,3,0,0.5,0.4,0,0.2,0.3,0.1,0.2,0.9,0.8,0.2,0.5,0.0,0.4,0.4,0.1,0
