,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
14,James Maddison,14,Leicester,26, AM(CLR)  ,28(2),2486,9,2.3,33.8,79.5,1.2,1.7,0.2,7.24,10,10,0,2.8,0.1,3,1.5,2.6,0.2,1.0,1.5,1.7,0.4,1.0,0.0,0.1,1.0,0.0,0
89,Youri Tielemans,14,Leicester,26, M(C)  ,27(4),2351,2,1.0,50.2,82.1,0.4,2.1,0.2,6.8,3,4,0,1.0,0.8,1,0.8,0.8,0.0,0.5,1.1,2.1,0.9,1.1,0.0,0.8,1.2,0.3,0
123,Timothy Castagne,14,Leicester,27," D(CLR),M(LR)  ",36(1),3257,3,0.6,40.6,80.7,0.4,1.1,0.0,6.71,2,3,0,0.5,1.5,0,0.3,0.4,0.2,0.5,0.9,2.4,1.2,0.7,0.2,2.5,1.2,0.4,0
128,Kiernan Dewsbury-Hall,14,Leicester,24, M(C)  ,28(3),2316,2,1.3,35.3,78.5,0.3,1.8,0.1,6.7,2,3,1,0.8,0.5,1,1.3,1.1,0.0,1.0,2.4,1.7,0.9,1.2,0.0,0.7,0.9,0.4,0
147,Harvey Barnes,14,Leicester,25, AM(CL)  ,32(2),2720,1,0.6,21.4,73.5,0.2,0.3,0.1,6.66,13,3,0,2.1,0.9,0,0.8,1.1,0.3,1.2,2.2,0.8,0.2,1.1,0.0,0.3,0.8,0.0,0
148,Wout Faes,14,Leicester,25, D(C)  ,31,2787,2,0.3,59.4,85.8,0.0,2.5,0.0,6.66,1,4,1,0.4,1.9,0,0.3,0.5,0.0,0.2,0.5,1.8,1.3,0.7,0.6,3.6,0.5,1.2,2
197,Daniel Amartey,14,Leicester,28," D(CR),DMC  ",18(2),1610,0,0.3,55.4,91.3,0.0,1.5,0.1,6.53,0,1,0,0.3,1.7,1,0.1,0.2,0.0,0.2,0.4,1.0,0.4,0.4,0.7,3.5,0.1,0.9,0
216,Wilfred Ndidi,14,Leicester,26," D(C),DMC  ",19(8),1683,0,0.1,33.1,84.0,0.0,0.8,0.0,6.49,0,4,0,0.3,0.9,0,0.4,0.5,0.0,0.4,0.5,2.3,1.4,1.1,0.0,1.6,1.0,0.5,0
218,Boubakary Soumaré,14,Leicester,24, DMC  ,20(6),1635,0,0.4,34.6,86.1,0.0,1.2,0.1,6.49,0,9,0,0.0,0.7,0,0.5,0.8,0.0,0.8,1.0,2.2,1.3,1.2,0.0,1.0,0.8,0.2,0
231,Kelechi Iheanacho,14,Leicester,26," AM(C),FW  ",11(17),1122,5,0.8,10.9,76.7,0.0,0.3,0.0,6.47,5,0,0,1.4,0.5,1,0.7,0.2,0.4,1.3,1.5,0.3,0.0,0.6,0.0,0.3,0.3,0.0,0
235,Danny Ward,14,Leicester,30, GK  ,26,2340,0,0.0,30.2,70.5,0.0,4.6,0.0,6.46,0,0,0,0.0,0.2,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
242,Patson Daka,14,Leicester,24, FW  ,13(17),1181,4,0.6,9.2,68.0,0.0,0.2,0.1,6.45,4,2,0,1.0,0.9,0,0.2,0.5,0.2,0.6,1.5,0.5,0.2,0.8,0.0,0.2,0.3,0.1,0
280,Jamie Vardy,14,Leicester,36," AM(L),FW  ",19(18),1855,4,0.4,6.9,53.3,0.0,0.2,0.1,6.33,3,1,0,0.8,1.3,0,0.3,0.2,0.8,0.4,0.9,0.3,0.1,0.6,0.0,0.8,0.2,0.1,0
286,Nampalys Mendy,14,Leicester,31, M(C)  ,7(12),751,0,0.1,21.5,88.3,0.0,0.6,0.0,6.31,1,1,0,0.1,0.2,0,0.4,0.5,0.0,0.1,0.4,0.7,0.7,0.5,0.1,0.1,0.4,0.2,0
303,Dennis Praet,14,Leicester,29, AM(CR)  ,6(16),641,0,0.1,11.3,77.8,0.1,0.4,0.0,6.19,1,1,0,0.2,0.0,0,0.3,0.4,0.0,0.5,0.5,0.5,0.2,0.4,0.0,0.2,0.2,0.1,0
