Name,Position,Date of Birth,Age,Nationality,Market Value
Emiliano Martínez,Goalkeeper,,30,Argentina,€28.00m
Robin Olsen,Goalkeeper,,33,Sweden,€1.50m
Jed Steer,Goalkeeper,,30,England,€500k
Viljami Sinisalo,Goalkeeper,,21,Finland,€500k
Oliwier Zych,Goalkeeper,,19,Poland,€50k
Filip Marschall,Goalkeeper,,20,Poland,-
James Wright,Goalkeeper,,18,England,-
Ezri Konsa,Centre-Back,,25,England,€25.00m
Tyrone Mings,Centre-Back,,30,England,€22.00m
Diego Carlos,Centre-Back,,30,Brazil,€20.00m
Jan Bednarek,Centre-Back,,27,Poland,€14.00m
Calum Chambers,Centre-Back,,28,England,€8.00m
Kortney Hause,Centre-Back,,27,England,€2.20m
Josh Feeney,Centre-Back,,18,England,€300k
Sil Swinkels,Centre-Back,,19,Netherlands,€150k
Álex Moreno,Left-Back,,30,Spain,€15.00m
Lucas Digne,Left-Back,,29,France,€15.00m
Ludwig Augustinsson,Left-Back,,29,Sweden,€2.50m
Ashley Young,Left-Back,,37,England,€600k
Sebastian Revan,Left-Back,,19,England,-
Travis Patterson,Left-Back,,17,England,-
Matty Cash,Right-Back,,25,Poland,€25.00m
Boubacar Kamara,Defensive Midfield,,23,France,€30.00m
Leander Dendoncker,Defensive Midfield,,28,Belgium,€15.00m
Marvelous Nakamba,Defensive Midfield,,29,Zimbabwe,€4.00m
Lamare Bogarde,Defensive Midfield,,19,Netherlands,€450k
Douglas Luiz,Central Midfield,,25,Brazil,€40.00m
John McGinn,Central Midfield,,28,Scotland,€27.00m
Morgan Sanson,Central Midfield,,28,France,€6.00m
Tim Iroegbunam,Central Midfield,,20,England,€5.00m
Jacob Ramsey,Attacking Midfield,,22,England,€42.00m
Philippe Coutinho,Attacking Midfield,,31,Brazil,€10.00m
Tommi O'Reilly,Attacking Midfield,,19,England,-
Leon Bailey,Left Winger,,25,Jamaica,€28.00m
Jaden Philogene,Left Winger,,21,England,€2.80m
Kadan Young,Left Winger,,17,England,-
Emiliano Buendía,Right Winger,,26,Argentina,€28.00m
Bertrand Traoré,Right Winger,,27,Burkina Faso,€12.00m
Ollie Watkins,Centre-Forward,,27,England,€40.00m
Danny Ings,Centre-Forward,,30,England,€12.00m
Cameron Archer,Centre-Forward,,21,England,€12.00m
Jhon Durán,Centre-Forward,,19,Colombia,€12.00m
Keinan Davis,Centre-Forward,,25,England,€3.00m
