Name,Position,Date of Birth,Age,Nationality,Market Value
Sam Johnstone,Goalkeeper,,30,England,€6.00m
Jack Butland,Goalkeeper,,30,England,€1.50m
Vicente Guaita,Goalkeeper,,36,Spain,€1.00m
Joe Whitworth,Goalkeeper,,19,England,€900k
Remi Matthews,Goalkeeper,,29,England,€350k
Owen Goodman,Goalkeeper,,19,England,€150k
Marc Guéhi,Centre-Back,,22,England,€35.00m
Joachim Andersen,Centre-Back,,27,Denmark,€30.00m
Chris Richards,Centre-Back,,23,United States,€10.00m
Nathan Ferguson,Centre-Back,,22,England,€1.20m
James Tomkins,Centre-Back,,34,England,€800k
Kofi Balmer,Centre-Back,,22,Northern Ireland,€200k
Tyrick Mitchell,Left-Back,,23,England,€22.00m
Tayo Adaramola,Left-Back,,19,Ireland,€1.50m
Nathaniel Clyne,Right-Back,,32,England,€2.00m
Joel Ward,Right-Back,,33,England,€1.20m
David Boateng,Right-Back,,22,England,€50k
Cheick Doucouré,Defensive Midfield,,23,Mali,€35.00m
Jairo Riedewald,Defensive Midfield,,26,Netherlands,€3.00m
Luka Milivojevic,Defensive Midfield,,32,Serbia,€2.00m
Kaden Rodney,Defensive Midfield,,18,England,€250k
David Ozoh,Defensive Midfield,,18,England,-
Albert Sambi Lokonga,Central Midfield,,23,Belgium,€15.00m
Naouirou Ahamada,Central Midfield,,21,France,€10.00m
Will Hughes,Central Midfield,,28,England,€5.00m
James McArthur,Central Midfield,,35,Scotland,€400k
Jack Wells-Morrison,Central Midfield,,19,England,€300k
Killian Phillips,Central Midfield,,21,Ireland,€150k
Jeffrey Schlupp,Left Midfield,,30,Ghana,€7.00m
Eberechi Eze,Attacking Midfield,,25,England,€40.00m
Wilfried Zaha,Left Winger,,30,Cote d'Ivoire,€22.00m
Adler Nascimento,Left Winger,,18,Portugal,-
Michael Olise,Right Winger,,21,France,€38.00m
Malcolm Ebiowei,Right Winger,,19,England,€3.00m
Odsonne Edouard,Centre-Forward,,25,France,€15.00m
Jean-Philippe Mateta,Centre-Forward,,26,France,€7.00m
Jordan Ayew,Centre-Forward,,31,Ghana,€5.00m
Luke Plange,Centre-Forward,,20,England,€1.00m
John-Kymani Gordon,Centre-Forward,,20,England,€100k
