Name,Position,Date of Birth,Age,Nationality,Market Value
Alisson,Goalkeeper,,30,Brazil,€35.00m
Caoimhín Kelleher,Goalkeeper,,24,Ireland,€12.00m
Adrián,Goalkeeper,,36,Spain,€800k
Harvey Davies,Goalkeeper,,19,England,€300k
Ibrahima Konaté,Centre-Back,,24,France,€38.00m
Virgil van Dijk,Centre-Back,,31,Netherlands,€35.00m
Joe Gomez,Centre-Back,,26,England,€22.00m
Joel Matip,Centre-Back,,31,Cameroon,€12.00m
Sepp van den Berg,Centre-Back,,21,Netherlands,€5.00m
Nathaniel Phillips,Centre-Back,,26,England,€4.00m
Rhys Williams,Centre-Back,,22,England,€2.00m
Jarell Quansah,Centre-Back,,20,England,€400k
Luke Chambers,Centre-Back,,19,England,€300k
Andrew Robertson,Left-Back,,29,Scotland,€40.00m
Konstantinos Tsimikas,Left-Back,,27,Greece,€18.00m
Trent Alexander-Arnold,Right-Back,,24,England,€65.00m
Calvin Ramsay,Right-Back,,19,Scotland,€5.00m
Fabinho,Defensive Midfield,,29,Brazil,€42.00m
Arthur Melo,Defensive Midfield,,26,Brazil,€15.00m
Stefan Bajcetic,Defensive Midfield,,18,Spain,€13.00m
Curtis Jones,Central Midfield,,22,England,€22.00m
Thiago,Central Midfield,,32,Spain,€15.00m
Naby Keïta,Central Midfield,,28,Guinea,€12.00m
Jordan Henderson,Central Midfield,,33,England,€10.00m
Alex Oxlade-Chamberlain,Central Midfield,,29,England,€7.00m
James Milner,Central Midfield,,37,England,€1.50m
Bobby Clark,Central Midfield,,18,England,€350k
Jake Cain,Central Midfield,,21,England,€200k
Harvey Elliott,Attacking Midfield,,20,England,€35.00m
Fábio Carvalho,Attacking Midfield,,20,Portugal,€16.00m
Luis Díaz,Left Winger,,26,Colombia,€75.00m
Cody Gakpo,Left Winger,,24,Netherlands,€55.00m
Diogo Jota,Left Winger,,26,Portugal,€50.00m
Mohamed Salah,Right Winger,,31,Egypt,€65.00m
Ben Doak,Right Winger,,17,Scotland,-
Melkamu Frauendorf,Right Winger,,19,Germany,-
Darwin Núñez,Centre-Forward,,24,Uruguay,€65.00m
Roberto Firmino,Centre-Forward,,31,Brazil,€18.00m
Layton Stewart,Centre-Forward,,20,England,-
