Name,Position,Date of Birth,Age,Nationality,Market Value
José Sá,Goalkeeper,,30,Portugal,€18.00m
Matija Sarkic,Goalkeeper,,25,Montenegro,€2.00m
Daniel Bentley,Goalkeeper,,29,England,€2.00m
Louie Moulden,Goalkeeper,,21,England,€200k
Jackson Smith,Goalkeeper,,21,England,€150k
Max Kilman,Centre-Back,,26,England,€30.00m
Nathan Collins,Centre-Back,,22,Ireland,€22.00m
Conor Coady,Centre-Back,,30,England,€12.00m
Toti,Centre-Back,,24,Portugal,€6.00m
Yerson Mosquera,Centre-Back,,22,Colombia,€3.00m
Willy Boly,Centre-Back,,32,Cote d'Ivoire,€2.50m
Craig Dawson,Centre-Back,,33,England,€2.00m
Rayan Aït-Nouri,Left-Back,,22,Algeria,€22.00m
Hugo Bueno,Left-Back,,20,Spain,€6.00m
Nélson Semedo,Right-Back,,29,Portugal,€15.00m
Jonny Otto,Right-Back,,29,Spain,€13.00m
Ki-Jana Hoever,Right-Back,,21,Netherlands,€3.50m
Dexter Lembikisa,Right-Back,,19,Jamaica,-
Rúben Neves,Defensive Midfield,,26,Portugal,€40.00m
Leander Dendoncker,Defensive Midfield,,28,Belgium,€15.00m
Mario Lemina,Defensive Midfield,,29,Gabon,€10.00m
Boubacar Traoré,Defensive Midfield,,21,Mali,€5.00m
Joe Hodge,Defensive Midfield,,20,Ireland,€2.00m
Harvey Griffiths,Defensive Midfield,,19,England,-
Matheus Nunes,Central Midfield,,24,Portugal,€45.00m
João Gomes,Central Midfield,,22,Brazil,€18.00m
Luke Cundle,Central Midfield,,21,England,€3.00m
João Moutinho,Central Midfield,,36,Portugal,€1.50m
Connor Ronan,Central Midfield,,25,Ireland,€800k
Morgan Gibbs-White,Attacking Midfield,,23,England,€40.00m
Chem Campbell,Attacking Midfield,,20,Wales,€1.00m
Gonçalo Guedes,Left Winger,,26,Portugal,€23.00m
Chiquinho,Left Winger,,23,Portugal,€2.00m
Pedro Neto,Right Winger,,23,Portugal,€28.00m
Daniel Podence,Right Winger,,27,Portugal,€20.00m
Pablo Sarabia,Right Winger,,31,Spain,€14.00m
Adama Traoré,Right Winger,,27,Spain,€10.00m
Matheus Cunha,Centre-Forward,,24,Brazil,€25.00m
Sasa Kalajdzic,Centre-Forward,,25,Austria,€15.00m
Hee-chan Hwang,Centre-Forward,,27,"Korea, South",€12.00m
Raúl Jiménez,Centre-Forward,,32,Mexico,€6.00m
Diego Costa,Centre-Forward,,34,Spain,€2.00m
Nathan Fraser,Centre-Forward,,18,Ireland,-
