,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Position,Date of Birth,Age,Nationality,Market Value
0,Iza Carcelén,1354,Cadiz,30, D(R)  ,25(2),2204,1,0.6,27.5,80.9,0.8,1.5,0.0,6.79,0,4,3,0.3,0.8,0,0.5,1.0,0.1,0.7,0.7,2.6,0.7,0.6,0.4,2.5,0.8,0.4,0,D,"Apr 23, 1993",30,Spain,€1.50m
1,Alfonso Espino,1354,Cadiz,31, D(L)  ,35(1),3123,4,1.0,31.8,67.2,0.7,1.9,0.1,6.72,0,7,0,0.6,0.9,2,0.7,1.0,0.1,0.6,1.4,2.4,1.3,1.4,0.3,2.4,1.3,0.3,0,D,"Jan 5, 1992",31,Uruguay,€3.50m
2,Rubén Sobrino,1354,Cadiz,31," AM(CLR),FW  ",28(5),2471,2,0.7,18.0,73.2,0.1,0.2,0.0,6.68,3,11,0,1.0,1.8,1,0.9,1.6,0.2,1.3,1.7,1.7,0.7,1.5,0.0,0.5,1.0,0.1,0,FW,"Jun 1, 1992",31,Spain,€2.00m
3,Théo Bongonda,1354,Cadiz,27, AM(LR)  ,24(7),1951,3,0.6,13.2,76.1,0.3,0.4,0.0,6.59,4,2,0,1.4,0.5,1,1.3,1.2,0.2,0.8,1.8,0.9,0.2,0.5,0.0,0.3,0.7,0.1,0,FW,"Nov 20, 1995",27,DR Congo,€4.00m
4,Rubén Alcaraz,1354,Cadiz,32, DMC  ,22(9),2047,0,0.6,32.2,81.3,0.5,3.2,0.0,6.5,3,9,1,1.1,1.0,1,0.4,1.1,0.0,1.0,1.1,1.4,0.6,1.5,0.1,1.1,1.1,0.3,0,M,"May 1, 1991",32,Spain,€2.00m
5,Luis Hernández,1354,Cadiz,34, D(CR)  ,35,3150,0,0.3,36.6,79.5,0.1,3.4,0.0,6.46,0,6,1,0.2,1.1,0,0.1,0.2,0.1,0.1,0.1,0.9,0.9,0.8,0.3,4.0,0.4,0.7,0,D,"Apr 14, 1989",34,Spain,€1.00m
6,Fali,1354,Cadiz,29," D(C),DMC  ",22(3),1722,0,0.2,23.6,77.1,0.0,3.2,0.1,6.44,0,6,0,0.4,1.1,0,0.1,0.7,0.0,0.0,0.3,1.1,0.5,0.6,0.1,2.7,0.4,0.6,0,D,"Aug 12, 1993",29,Spain,€2.50m
7,Álvaro Negredo,1354,Cadiz,37, FW  ,9(12),756,2,0.5,8.1,61.4,0.0,0.5,0.1,6.35,1,0,0,1.0,1.5,1,0.2,0.4,0.3,0.3,0.9,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0,FW,"Aug 20, 1985",37,Spain,€1.00m
8,Álex Fernández,1354,Cadiz,30," M(CL),FW  ",17(11),1575,0,0.6,24.3,86.6,0.4,1.4,0.1,6.35,3,0,0,0.6,0.4,1,0.2,0.5,0.0,0.9,0.6,0.5,0.3,0.3,0.0,0.7,0.4,0.0,0,AM,"Oct 15, 1992",30,Spain,€4.00m
9,Fede San Emeterio,1354,Cadiz,26, DMC  ,24(9),1856,1,0.2,19.6,79.8,0.0,1.0,0.0,6.31,0,14,0,0.2,0.7,0,0.1,0.7,0.0,0.2,0.3,1.2,0.5,1.8,0.0,0.8,0.7,0.4,0,M,"Mar 16, 1997",26,Spain,€2.00m
10,Iván Alejo,1354,Cadiz,28, AM(R)  ,13(18),1304,1,0.7,8.7,66.9,0.9,0.2,0.0,6.22,0,11,1,0.7,0.8,0,0.4,1.4,0.1,0.7,1.2,1.0,0.2,1.2,0.0,0.3,0.6,0.1,0,FW,"Feb 10, 1995",28,Spain,€1.20m
11,José Mari,1354,Cadiz,35, DMC  ,4(16),387,0,0.3,10.1,83.6,0.0,1.4,0.0,6.2,0,4,0,0.3,0.3,0,0.2,0.4,0.0,0.4,0.3,0.8,0.3,0.3,0.0,0.4,0.3,0.1,0,DM,"Dec 6, 1987",35,Spain,€400k
12,Juan Foyth,839,Villarreal,25," D(CR),DMC  ",22(2),1960,0,0.5,45.4,87.8,0.2,2.9,0.0,7.06,1,6,0,0.6,1.5,1,1.1,0.4,0.0,0.6,0.9,3.0,0.8,1.7,0.4,2.4,0.7,0.5,0,D,"Jan 12, 1998",25,Argentina,€25.00m
13,Gerard Moreno,839,Villarreal,31," AM(CR),FW  ",14(7),1227,3,0.9,22.1,75.1,0.0,1.0,0.1,6.94,7,4,0,2.0,0.9,1,1.4,0.7,0.6,0.9,1.5,0.5,0.2,0.5,0.0,0.5,0.1,0.1,0,FW,"Apr 7, 1992",31,Spain,€20.00m
14,Samuel Chukwueze,839,Villarreal,24, AM(CR)  ,27(10),2350,5,1.2,23.2,78.3,0.3,0.6,0.1,6.89,6,1,0,1.6,0.4,3,2.3,0.9,0.3,0.8,1.8,0.4,0.3,0.5,0.0,0.4,0.4,0.0,0,FW,"May 22, 1999",24,Nigeria,€25.00m
15,Nicolas Jackson,839,Villarreal,22, FW  ,16(10),1603,4,0.8,12.2,76.4,0.1,0.3,0.0,6.87,12,4,1,1.6,0.5,4,0.9,1.0,0.5,1.5,2.1,0.5,0.1,1.2,0.0,0.1,0.2,0.1,0,FW,"Jun 20, 2001",22,Senegal,€30.00m
16,Giovani Lo Celso,839,Villarreal,27," M(CR),FW  ",14(8),1130,3,1.4,29.6,86.5,0.3,2.4,0.3,6.82,2,3,0,1.4,0.1,2,1.0,1.4,0.2,1.0,1.4,1.5,0.3,0.7,0.0,0.1,0.4,0.1,0,AM,"Apr 9, 1996",27,Argentina,€14.00m
17,Pau Torres,839,Villarreal,26, D(C)  ,34,3055,0,0.4,63.6,85.3,0.0,5.4,0.1,6.8,1,10,0,0.4,1.7,1,0.8,0.5,0.0,0.1,0.6,1.3,0.4,0.6,0.6,4.1,0.4,0.8,1,D,"Jan 16, 1997",26,Spain,€45.00m
18,Alfonso Pedraza,839,Villarreal,27," D(L),M(L)  ",20(6),1636,3,0.7,23.3,81.5,0.5,0.7,0.0,6.65,0,5,0,1.0,0.5,0,0.8,0.6,0.1,0.5,1.2,1.3,0.7,0.8,0.3,0.8,0.4,0.0,0,D,"Apr 9, 1996",27,Spain,€15.00m
19,Raúl Albiol,839,Villarreal,37, D(C)  ,24(1),2120,0,0.1,58.8,88.7,0.0,4.9,0.0,6.65,0,6,0,0.1,1.6,0,0.2,0.5,0.0,0.2,0.4,1.0,0.6,0.7,0.8,4.3,0.2,0.5,0,D,"Sep 4, 1985",37,Spain,€2.50m
20,Aïssa Mandi,839,Villarreal,31, D(CLR)  ,16(5),1460,0,0.2,42.0,90.8,0.0,2.6,0.0,6.61,0,1,0,0.1,1.0,0,0.0,0.5,0.2,0.1,0.1,0.9,1.0,0.8,0.8,2.8,0.3,0.7,0,D,"Oct 22, 1991",31,Algeria,€3.00m
21,Álex Baena,839,Villarreal,21, AM(CL)  ,19(16),1947,2,0.9,23.6,81.6,0.2,1.1,0.3,6.59,6,11,1,1.8,0.1,2,0.8,1.6,0.1,1.0,1.2,0.9,0.2,1.7,0.0,0.4,0.9,0.1,0,AM,"Jul 20, 2001",21,Spain,€20.00m
22,Pepe Reina,839,Villarreal,40, GK  ,22,1980,0,0.0,33.7,77.4,0.0,4.6,0.0,6.58,0,2,0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,GK,"Aug 31, 1982",40,Spain,€700k
