,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Position,Date of Birth,Age,Nationality,Market Value
0,Lautaro Martínez,75,Inter,25, FW  ,27(11),2577,6,1.2,17.3,75.6,0.0,0.6,0.1,7.18,21,3,0,3.3,1.1,8,0.8,1.7,0.3,1.3,2.0,0.7,0.3,1.2,0.0,0.4,0.4,0.0,0,FW,"Aug 22, 1997",25,Argentina,€85.00m
1,Romelu Lukaku,75,Inter,30," AM(R),FW  ",19(6),1663,6,1.3,15.1,72.5,0.1,0.3,0.1,6.96,10,1,0,2.0,1.6,3,0.6,0.2,0.5,1.1,1.9,0.1,0.0,0.6,0.0,0.6,0.1,0.0,0,FW,"May 13, 1993",30,Belgium,€40.00m
2,Nicolò Barella,75,Inter,26, AM(C)  ,31(4),2622,6,1.6,42.9,85.0,0.6,1.8,0.1,6.94,6,6,0,0.9,0.6,4,1.1,1.3,0.3,1.1,1.5,1.4,0.3,0.9,0.0,0.3,0.7,0.1,0,M,"Feb 7, 1997",26,Italy,€75.00m
3,Federico Dimarco,75,Inter,25," D(CL),M(L)  ",26(7),2089,3,1.8,28.2,80.6,1.9,2.1,0.0,6.87,4,0,0,1.5,0.2,0,0.2,0.9,0.2,0.3,0.5,0.9,0.5,0.4,0.0,0.4,0.3,0.1,0,D,"Nov 10, 1997",25,Italy,€35.00m
4,Stefan de Vrij,75,Inter,31, D(C)  ,22(5),1944,0,0.0,44.5,89.5,0.0,1.7,0.0,6.87,1,4,0,0.7,3.1,0,0.1,0.3,0.0,0.1,0.1,1.0,1.5,0.6,0.3,2.9,0.2,0.4,0,D,"Feb 5, 1992",31,Netherlands,€8.00m
5,Francesco Acerbi,75,Inter,35, D(C)  ,25(6),2418,2,0.5,51.5,89.8,0.1,3.2,0.0,6.79,0,4,0,0.6,2.5,0,0.2,0.4,0.1,0.2,0.4,1.1,1.3,0.5,0.3,2.5,0.3,0.6,0,D,"Feb 10, 1988",35,Italy,€4.00m
6,Marcelo Brozovic,75,Inter,30, M(CR)  ,19(9),1769,5,0.8,51.6,89.6,0.5,2.5,0.1,6.78,3,9,0,0.9,0.2,1,0.6,0.5,0.0,0.2,0.7,1.3,0.8,0.9,0.0,0.9,0.9,0.3,0,DM,"Nov 16, 1992",30,Croatia,€25.00m
7,Edin Dzeko,75,Inter,37, FW  ,18(15),1729,3,0.7,15.2,72.0,0.1,0.6,0.1,6.75,9,3,0,2.2,1.2,3,0.3,0.7,0.3,0.5,1.5,0.1,0.1,0.8,0.0,0.8,0.1,0.0,0,FW,"Mar 17, 1986",37,Bosnia-Herzegovina,€4.00m
8,André Onana,75,Inter,27, GK  ,24,2160,0,0.1,38.0,79.2,0.0,6.1,0.0,6.72,0,1,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1,GK,"Apr 2, 1996",27,Cameroon,€35.00m
9,Denzel Dumfries,75,Inter,27," D(R),M(R)  ",25(9),2223,4,0.9,22.3,79.1,0.6,0.7,0.0,6.69,1,4,0,1.0,1.2,0,0.6,1.1,0.1,0.6,1.1,1.0,0.4,0.9,0.0,0.6,0.4,0.3,1,M,"Apr 18, 1996",27,Netherlands,€28.00m
10,Henrikh Mkhitaryan,75,Inter,34," M(CLR),FW  ",24(7),1997,2,0.6,33.1,88.4,0.3,1.5,0.0,6.69,3,4,0,1.1,0.3,1,0.5,0.9,0.0,0.6,1.4,1.3,0.7,0.9,0.0,0.5,0.9,0.1,0,M,"Jan 21, 1989",34,Armenia,€6.00m
11,Alessandro Bastoni,75,Inter,24, D(C)  ,26(3),2168,2,0.5,53.0,85.4,0.4,4.6,0.0,6.68,0,3,0,0.4,1.3,0,0.3,0.5,0.0,0.2,0.4,1.4,0.8,0.7,0.2,1.4,0.6,0.4,0,D,"Apr 13, 1999",24,Italy,€60.00m
12,Matteo Darmian,75,Inter,33," D(CLR),M(LR)  ",24(7),2032,2,0.6,39.9,87.0,0.4,1.8,0.0,6.63,1,3,0,0.2,0.5,0,0.3,0.6,0.1,0.3,0.5,1.8,0.7,0.7,0.0,1.1,0.5,0.2,0,D,"Dec 2, 1989",33,Italy,€4.00m
13,Milan Skriniar,75,Inter,28, D(C)  ,20(1),1770,0,0.3,65.1,91.7,0.0,3.0,0.0,6.44,0,3,1,0.4,0.8,0,0.1,0.7,0.0,0.1,0.7,1.4,0.6,1.7,0.3,2.2,0.7,0.6,1,D,"Feb 11, 1995",28,Slovakia,€50.00m
14,Robin Gosens,75,Inter,28," D(L),M(CL)  ",11(21),1168,0,0.5,16.5,80.7,0.3,0.5,0.0,6.44,3,2,0,0.8,0.6,0,0.2,0.1,0.1,0.1,0.5,1.1,0.7,0.5,0.0,0.4,0.3,0.1,0,M,"Jul 5, 1994",28,Germany,€15.00m
15,Joaquín Correa,75,Inter,28," AM(CL),FW  ",12(14),947,1,0.6,10.6,80.4,0.0,0.3,0.1,6.39,3,1,0,0.8,0.2,0,0.5,0.7,0.1,0.6,1.1,0.5,0.1,0.5,0.0,0.0,0.4,0.0,0,FW,"Aug 13, 1994",28,Argentina,€12.00m
16,Roberto Gagliardini,75,Inter,29, DMC  ,7(12),777,0,0.3,18.2,84.6,0.2,0.4,0.1,6.27,0,3,1,0.8,0.8,0,0.0,0.5,0.0,0.1,0.5,0.8,0.2,1.1,0.0,0.6,0.6,0.3,0,M,"Apr 7, 1994",29,Italy,€4.00m
17,Kristjan Asllani,75,Inter,21, M(C)  ,5(15),580,0,0.6,21.7,90.1,0.5,1.6,0.0,6.25,0,2,0,0.6,0.0,0,0.1,0.4,0.0,0.1,0.2,0.6,0.3,0.3,0.0,0.2,0.2,0.1,0,DM,"Mar 9, 2002",21,Albania,€12.00m
18,Boulaye Dia,143,Salernitana,26," AM(R),FW  ",27(6),2527,6,1.1,17.5,77.3,0.1,0.5,0.1,6.88,16,4,0,1.5,0.6,4,1.1,1.3,0.4,1.8,2.2,0.4,0.2,0.8,0.0,0.8,0.2,0.0,0,FW,"Nov 16, 1996",26,Senegal,€25.00m
19,Guillermo Ochoa,143,Salernitana,37, GK  ,20,1800,0,0.0,35.6,55.8,0.0,8.2,0.0,6.8,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,GK,"Jul 13, 1985",37,Mexico,€1.50m
20,Pasquale Mazzocchi,143,Salernitana,27," D(R),M(LR)  ",23(4),1968,3,1.1,24.8,79.9,0.8,1.1,0.0,6.74,2,2,0,0.7,0.4,1,2.1,0.6,0.2,1.3,2.0,1.2,0.4,1.0,0.0,1.0,0.7,0.1,0,D,"Jul 27, 1995",27,Italy,€4.80m
21,Lassana Coulibaly,143,Salernitana,27, M(CL)  ,34(1),2901,3,0.6,33.1,84.0,0.0,1.0,0.1,6.72,3,12,0,0.5,0.9,2,1.4,1.4,0.0,0.9,1.7,2.4,0.7,1.5,0.0,0.9,1.2,0.2,0,M,"Apr 10, 1996",27,Mali,€5.00m
22,Norbert Gyömbér,143,Salernitana,30," D(CR),DMC  ",23(4),1755,1,0.1,27.2,83.8,0.0,1.3,0.0,6.71,0,5,0,0.3,1.7,0,0.1,0.3,0.0,0.0,0.1,1.2,1.3,0.8,0.2,3.3,0.3,0.8,0,D,"Jul 3, 1992",30,Slovakia,€1.50m
23,Antonio Candreva,143,Salernitana,36, M(CLR)  ,32(3),2741,4,1.6,35.7,79.7,1.5,2.0,0.1,6.68,7,1,1,1.3,0.1,2,0.2,1.0,0.3,0.4,0.7,0.5,0.5,0.2,0.0,0.6,0.8,0.1,0,M,"Feb 28, 1987",36,Italy,€1.50m
24,Krzysztof Piatek,143,Salernitana,27, FW  ,23(10),2144,5,0.7,16.2,70.1,0.0,0.4,0.0,6.59,4,5,0,1.8,2.7,1,0.3,1.3,0.7,1.1,2.4,0.5,0.1,1.2,0.0,1.2,0.5,0.1,0,FW,"Jul 1, 1995",27,Poland,€7.00m
25,Lorenzo Pirola,143,Salernitana,21, D(C)  ,23(3),1949,0,0.1,37.6,80.6,0.0,1.3,0.0,6.56,2,4,0,0.5,1.8,2,0.2,0.3,0.0,0.1,0.5,1.3,1.2,1.1,0.5,3.2,0.3,1.3,0,D,"Feb 20, 2002",21,Italy,€8.00m
26,Flavius Daniliuc,143,Salernitana,22, D(CR)  ,23(4),2195,2,0.3,41.3,86.1,0.0,2.6,0.0,6.53,0,10,0,0.4,1.4,0,0.1,0.1,0.0,0.1,0.5,2.1,1.1,1.2,0.4,2.6,0.8,0.5,0,D,"Apr 27, 2001",22,Austria,€8.00m
27,Grigoris Kastanos,143,Salernitana,25, M(CR)  ,13(15),1280,1,0.5,19.4,77.7,0.2,0.8,0.0,6.49,2,4,0,1.1,0.8,0,0.5,1.5,0.0,0.7,0.6,1.4,0.3,0.8,0.0,0.2,0.9,0.2,0,AM,"Jan 30, 1998",25,Cyprus,€1.80m
28,Tonny Vilhena,143,Salernitana,28," D(L),M(CL)  ",27(6),2275,1,0.6,24.2,79.7,0.5,1.0,0.0,6.46,4,5,0,0.9,0.3,0,0.5,1.0,0.0,0.7,1.1,1.3,0.5,1.0,0.0,0.6,0.9,0.2,0,M,"Jan 3, 1995",28,Netherlands,€3.80m
29,Dylan Bronn,143,Salernitana,28, D(C)  ,19(5),1684,0,0.2,40.5,85.9,0.0,2.6,0.0,6.41,0,5,1,0.3,1.4,0,0.3,0.4,0.0,0.1,0.3,1.4,0.8,1.2,0.4,2.3,0.4,0.8,0,D,"Jun 19, 1995",28,Tunisia,€2.50m
30,Emil Bohinen,143,Salernitana,24, DMC  ,9(15),825,0,0.5,19.8,84.8,0.0,0.4,0.0,6.38,0,0,0,0.2,0.5,0,0.3,0.5,0.0,0.4,0.4,1.0,0.7,0.6,0.0,0.8,0.5,0.3,0,DM,"Mar 12, 1999",24,Norway,€3.40m
31,Junior Sambia,143,Salernitana,26," D(R),M(CR)  ",7(15),691,1,0.3,13.3,84.2,0.3,0.4,0.0,6.33,0,3,0,0.6,0.7,0,0.5,0.8,0.0,0.4,0.6,0.5,0.4,0.5,0.0,0.5,0.2,0.1,0,D,"Sep 7, 1996",26,France,€3.50m
32,Federico Bonazzoli,143,Salernitana,26," AM(C),FW  ",12(12),1119,1,0.3,14.5,75.4,0.0,1.0,0.0,6.27,2,1,0,1.3,0.3,0,0.5,1.3,0.3,0.5,1.8,0.2,0.1,0.8,0.0,0.0,0.4,0.0,0,FW,"May 21, 1997",26,Italy,€4.00m
33,Erik Botheim,143,Salernitana,23, AM(C)  ,9(19),858,3,0.3,8.0,72.8,0.0,0.1,0.0,6.19,1,2,0,0.3,0.8,0,0.1,0.4,0.1,0.4,0.7,0.4,0.0,0.4,0.0,0.1,0.3,0.0,0,FW,"Jan 10, 2000",23,Norway,€3.50m
34,Milan Djuric,76,Verona,33, FW  ,14(14),1364,1,0.8,18.5,51.6,0.0,0.1,0.0,6.74,1,3,0,0.6,7.1,3,0.1,1.0,0.2,0.5,0.9,0.1,0.0,0.9,0.0,0.9,0.1,0.1,0,FW,"May 22, 1990",33,Bosnia-Herzegovina,€1.00m
35,Lorenzo Montipò,76,Verona,27, GK  ,37,3330,0,0.0,28.8,58.5,0.0,9.9,0.0,6.63,0,2,0,0.0,0.1,0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0,GK,"Feb 20, 1996",27,Italy,€4.00m
36,Simone Verdi,76,Verona,30," AM(CLR),FW  ",12(12),1093,0,0.8,13.7,75.6,0.8,1.1,0.1,6.62,5,3,0,1.3,0.4,3,1.5,1.1,0.0,1.3,1.5,0.6,0.0,0.6,0.0,0.1,0.5,0.0,0,AM,"Jul 12, 1992",30,Italy,€4.00m
37,Isak Hien,76,Verona,24, D(C)  ,28(4),2608,0,0.1,31.4,75.3,0.0,1.8,0.0,6.6,0,9,0,0.1,2.5,0,0.5,0.7,0.0,0.3,0.8,2.3,1.0,1.6,0.5,2.8,0.7,0.5,0,D,"Jan 13, 1999",24,Sweden,€6.00m
38,Giangiacomo Magnani,76,Verona,27, D(C)  ,19(5),1535,1,0.2,20.4,74.2,0.1,1.9,0.0,6.5,0,7,1,0.3,1.4,1,0.1,0.3,0.0,0.1,0.3,1.4,0.9,0.9,0.1,3.1,0.3,0.6,1,D,"Oct 4, 1995",27,Italy,€3.00m
39,Josh Doig,76,Verona,21," D(CL),M(L)  ",15(7),1359,3,0.5,16.8,69.9,0.5,0.7,0.0,6.5,2,1,0,0.8,0.7,0,1.0,0.3,0.1,0.7,1.5,0.9,0.5,0.6,0.0,0.5,0.5,0.3,0,D,"May 18, 2002",21,Scotland,€8.00m
40,Bruno Amione,271,Sampdoria,21, D(C)  ,25(1),2093,1,0.1,37.5,80.1,0.0,1.4,0.0,6.49,1,8,1,0.5,2.7,0,0.1,0.6,0.0,0.0,0.8,1.9,1.0,0.9,0.7,2.2,0.9,0.4,0,D,"Jan 3, 2002",21,Argentina,€2.70m
41,Federico Ceccherini,76,Verona,31, D(C)  ,18(4),1431,0,0.2,26.8,77.6,0.1,1.7,0.0,6.48,2,9,1,0.3,1.4,1,0.1,0.9,0.0,0.4,0.6,1.1,0.9,1.4,0.1,2.4,0.5,0.5,0,D,"May 11, 1992",31,Italy,€1.50m
42,Miguel Veloso,76,Verona,37, M(C)  ,14(8),1169,0,0.9,24.0,76.2,1.0,1.9,0.0,6.39,0,6,0,0.7,0.6,0,0.2,0.4,0.0,0.3,0.3,1.5,0.3,0.9,0.0,0.5,0.5,0.3,1,DM,"May 11, 1986",37,Portugal,€500k
43,Filippo Terracciano,76,Verona,20, M(R)  ,7(13),816,1,0.4,13.7,72.6,0.3,0.7,0.1,6.39,0,2,0,0.3,0.8,0,0.3,0.9,0.0,0.2,0.9,1.0,0.5,0.4,0.0,0.6,0.3,0.2,0,D,"Feb 8, 2003",20,Italy,€1.50m
44,Antonín Barák,73,Fiorentina,28, AM(CR)  ,21(9),1807,0,0.7,23.2,83.5,0.1,1.0,0.0,6.38,2,4,0,1.1,0.6,0,0.6,0.6,0.1,0.9,1.1,0.7,0.1,0.4,0.0,0.4,0.3,0.1,0,AM,"Dec 3, 1994",28,Czech Republic,€10.00m
45,Fabio Depaoli,76,Verona,26," D(R),M(CLR)  ",24(7),2172,2,0.5,14.4,63.2,0.6,0.9,0.0,6.37,2,7,0,0.6,0.8,0,0.4,1.0,0.1,0.6,1.2,1.5,0.6,1.4,0.0,0.9,0.6,0.2,0,D,"Apr 24, 1997",26,Italy,€3.00m
46,Diego Coppola,76,Verona,19, D(C)  ,11(8),1171,0,0.0,26.7,73.6,0.1,1.6,0.0,6.36,0,5,0,0.2,2.5,0,0.1,0.0,0.0,0.1,0.4,1.3,0.7,0.5,0.2,1.9,0.7,0.3,0,D,"Dec 28, 2003",19,Italy,€4.00m
47,Yayah Kallon,76,Verona,21, AM(C)  ,8(14),856,1,0.6,9.0,68.7,0.4,0.1,0.0,6.28,1,1,0,0.9,0.4,0,0.4,1.0,0.2,0.7,1.3,0.6,0.4,0.6,0.0,0.1,0.2,0.0,0,FW,"Jun 30, 2001",22,Sierra Leone,€1.50m
48,Kevin Lasagna,76,Verona,30," AM(CL),FW  ",17(9),1575,2,0.7,9.1,64.4,0.1,0.1,0.0,6.23,1,2,0,2.0,0.8,0,0.5,0.8,0.6,1.3,2.0,0.5,0.2,0.9,0.0,0.4,0.3,0.0,0,FW,"Aug 10, 1992",30,Italy,€1.80m
49,Stefan Posch,71,Bologna,26, D(CR)  ,30,2541,2,0.8,49.2,76.7,0.3,3.9,0.1,6.96,6,6,0,0.9,0.9,7,0.5,0.9,0.0,0.4,1.3,2.7,1.2,1.6,0.2,2.0,1.0,0.5,0,D,"May 14, 1997",26,Austria,€14.00m
50,Nicolás Domínguez,71,Bologna,24, M(C)  ,26(5),2309,2,1.2,44.0,83.7,0.1,1.9,0.2,6.91,3,10,0,1.4,1.2,1,0.8,1.0,0.1,0.7,1.6,2.5,0.7,1.4,0.0,0.8,1.2,0.1,0,M,"Jun 28, 1998",25,Argentina,€17.00m
51,Lukasz Skorupski,71,Bologna,32, GK  ,37,3330,0,0.0,27.2,74.8,0.0,5.5,0.0,6.79,0,4,0,0.0,0.2,2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0,GK,"May 5, 1991",32,Poland,€3.50m
52,Riccardo Orsolini,71,Bologna,26," M(CR),FW  ",22(10),2122,4,1.4,23.8,68.1,1.0,1.7,0.0,6.77,11,6,2,2.9,0.5,3,1.1,1.3,0.6,1.1,2.2,0.9,0.3,1.2,0.0,0.4,0.8,0.1,0,FW,"Jan 24, 1997",26,Italy,€12.00m
